1766957508.343363 client started (1051671): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1766957508.343420 on Linux 6.8.0-76060800daily20240311-generic #202403110203~1714077665~22.04~4c8e9a0 SMP PREEMPT_DYNAMIC Thu A
1766957508.346131 sending message 105 to peer 0x64a1aaa260f0 (48 bytes)
1766957508.346133 sending message 105 to peer 0x64a1aaa260f0 (49 bytes)
1766957508.346138 sending message 105 to peer 0x64a1aaa260f0 (21 bytes)
1766957508.346140 sending message 105 to peer 0x64a1aaa260f0 (18 bytes)
1766957508.346141 sending message 105 to peer 0x64a1aaa260f0 (16 bytes)
1766957508.346143 sending message 105 to peer 0x64a1aaa260f0 (45 bytes)
1766957508.346145 sending message 105 to peer 0x64a1aaa260f0 (24 bytes)
1766957508.346147 sending message 105 to peer 0x64a1aaa260f0 (19 bytes)
1766957508.346149 sending message 105 to peer 0x64a1aaa260f0 (781 bytes)
1766957508.346152 sending message 105 to peer 0x64a1aaa260f0 (24 bytes)
1766957508.346153 sending message 105 to peer 0x64a1aaa260f0 (55 bytes)
1766957508.346155 sending message 105 to peer 0x64a1aaa260f0 (20 bytes)
1766957508.346157 sending message 105 to peer 0x64a1aaa260f0 (52 bytes)
1766957508.346159 sending message 105 to peer 0x64a1aaa260f0 (54 bytes)
1766957508.346161 sending message 105 to peer 0x64a1aaa260f0 (20 bytes)
1766957508.346162 sending message 105 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.346164 sending message 105 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.346166 sending message 105 to peer 0x64a1aaa260f0 (22 bytes)
1766957508.346168 sending message 105 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.346169 sending message 105 to peer 0x64a1aaa260f0 (61 bytes)
1766957508.346171 sending message 105 to peer 0x64a1aaa260f0 (77 bytes)
1766957508.346173 sending message 105 to peer 0x64a1aaa260f0 (34 bytes)
1766957508.346175 sending message 105 to peer 0x64a1aaa260f0 (83 bytes)
1766957508.346177 sending message 105 to peer 0x64a1aaa260f0 (16 bytes)
1766957508.346178 sending message 105 to peer 0x64a1aaa260f0 (44 bytes)
1766957508.346180 sending message 105 to peer 0x64a1aaa260f0 (29 bytes)
1766957508.346182 sending message 105 to peer 0x64a1aaa260f0 (52 bytes)
1766957508.346184 sending message 105 to peer 0x64a1aaa260f0 (26 bytes)
1766957508.346185 sending message 105 to peer 0x64a1aaa260f0 (19 bytes)
